la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
149,2019,1,5394,4690,4679,6,3906,445,133,4572,118,0,4342,348
150,2019,1,4590,3969,3757,6,3433,280,90,3875,94,0,3713,256
151,2019,1,4595,4323,4087,6,3718,305,118,4207,116,0,4015,310
133,2019,1,3356,2818,2683,6,2414,213,91,2774,44,0,2624,194
153,2019,1,3390,2976,2947,6,2526,231,83,2902,74,0,2812,164
154,2019,1,3579,3245,3245,6,2838,225,73,3172,73,0,3107,138
155,2019,1,4539,3902,3771,6,3488,250,81,3854,48,0,3691,211
156,2019,1,3430,3429,3423,6,2887,321,97,3355,74,0,3084,345
157,2019,1,2037,1977,1877,6,1624,156,72,1905,59,13,1882,82
158,2019,1,2564,2551,2400,6,2093,178,77,2421,130,0,2307,244
138,2019,1,5435,4261,4158,6,4008,167,36,4221,40,0,4134,127
159,2019,1,4544,3919,3916,6,3272,356,103,3802,108,9,3762,148
160,2019,1,2573,2245,2187,6,1901,163,78,2191,54,0,2207,38
161,2019,1,2596,2728,2649,6,2289,174,69,2607,116,5,2430,293
162,2019,1,3930,3366,3244,6,3011,227,43,3307,59,0,3266,100
68,2019,1,16635,14181,14048,3,12641,934,320,13896,230,55,13660,466
69,2019,1,4785,3988,3193,3,3782,160,20,3962,26,0,3923,65
70,2019,1,4016,3625,3324,5,3345,171,35,3570,54,1,3483,149
71,2019,1,4980,4281,4069,6,3906,173,56,4150,131,0,4065,216
72,2019,1,2822,2488,2461,5,2234,156,30,2434,50,4,2399,85
73,2019,1,4102,3582,3445,3,3206,198,60,3465,112,5,3434,179
74,2019,1,3620,3289,3129,5,2862,230,69,3179,110,0,3124,165
30,2019,1,1966,1840,1140,3,1633,94,39,1766,74,0,1603,247
31,2019,1,5946,5438,4858,3,4756,343,101,5200,236,2,5252,184
32,2019,1,2290,1969,1665,3,1819,90,22,1931,29,9,1901,60
33,2019,1,3185,2776,2511,3,2601,123,22,2746,29,1,2714,61
